
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1    1280

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
     Cpp11-BlockingQueue.h   namespace                              Async      69     112      13
     Cpp11-BlockingQueue.h       class                      BlockingQueue      71      17      12
     Cpp11-BlockingQueue.h    function                      BlockingQueue      72       2       1
     Cpp11-BlockingQueue.h    function                      BlockingQueue      92       7       1
     Cpp11-BlockingQueue.h    function                          operator=     103       9       1
     Cpp11-BlockingQueue.h    function                                deQ     116      26       3
     Cpp11-BlockingQueue.h    function                                enQ     146       7       2
     Cpp11-BlockingQueue.h    function                              front     157       6       1
     Cpp11-BlockingQueue.h    function                              clear     167       5       1
     Cpp11-BlockingQueue.h    function                               size     176       4       1
     Cpp11-BlockingQueue.h   namespace                              Async      53     112      13
     Cpp11-BlockingQueue.h       class                      BlockingQueue      55      17      12
     Cpp11-BlockingQueue.h    function                      BlockingQueue      56       2       1
     Cpp11-BlockingQueue.h    function                      BlockingQueue      76       7       1
     Cpp11-BlockingQueue.h    function                          operator=      87       9       1
     Cpp11-BlockingQueue.h    function                                deQ     100      26       3
     Cpp11-BlockingQueue.h    function                                enQ     130       7       2
     Cpp11-BlockingQueue.h    function                              front     141       6       1
     Cpp11-BlockingQueue.h    function                              clear     151       5       1
     Cpp11-BlockingQueue.h    function                               size     160       4       1
     Cpp11-BlockingQueue.h   namespace                              Async      69     112      13
     Cpp11-BlockingQueue.h       class                      BlockingQueue      71      17      12
     Cpp11-BlockingQueue.h    function                      BlockingQueue      72       2       1
     Cpp11-BlockingQueue.h    function                      BlockingQueue      92       7       1
     Cpp11-BlockingQueue.h    function                          operator=     103       9       1
     Cpp11-BlockingQueue.h    function                                deQ     116      26       3
     Cpp11-BlockingQueue.h    function                                enQ     146       7       2
     Cpp11-BlockingQueue.h    function                              front     157       6       1
     Cpp11-BlockingQueue.h    function                              clear     167       5       1
     Cpp11-BlockingQueue.h    function                               size     176       4       1
     Cpp11-BlockingQueue.h   namespace                              Async      69     112      13
     Cpp11-BlockingQueue.h       class                      BlockingQueue      71      17      12
     Cpp11-BlockingQueue.h    function                      BlockingQueue      72       2       1
     Cpp11-BlockingQueue.h    function                      BlockingQueue      92       7       1
     Cpp11-BlockingQueue.h    function                          operator=     103       9       1
     Cpp11-BlockingQueue.h    function                                deQ     116      26       3
     Cpp11-BlockingQueue.h    function                                enQ     146       7       2
     Cpp11-BlockingQueue.h    function                              front     157       6       1
     Cpp11-BlockingQueue.h    function                              clear     167       5       1
     Cpp11-BlockingQueue.h    function                               size     176       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
   Cpp11-BlockingQueue.cpp    function                               test      31      12       3
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3
   Cpp11-BlockingQueue.cpp    function                               test      23      12       3
   Cpp11-BlockingQueue.cpp    function                               main      37      52       3
   Cpp11-BlockingQueue.cpp    function                               test      31      12       3
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3
   Cpp11-BlockingQueue.cpp    function                               test      31      12       3
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               DataStore.h       class                          DataStore       7      10       5
               DataStore.h    function                               save       9       2       1
               DataStore.h    function                               save      10       2       1
               DataStore.h    function                              begin      11       2       1
               DataStore.h    function                                end      12       2       1
               DataStore.h       class                          DataStore       7      10       5
               DataStore.h    function                               save       9       2       1
               DataStore.h    function                               save      10       2       1
               DataStore.h    function                              begin      11       2       1
               DataStore.h    function                                end      12       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             DataStore.cpp    function                               main       9      16       2
             DataStore.cpp    function                               main       9      16       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 DepAnal.h       class                            DepAnal      51       5       1
                 DepAnal.h       class                            DepAnal      51       5       1
                 DepAnal.h       class                            DepAnal      51       5       7

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               DepAnal.cpp    function                        getFileName      26      10       1
               DepAnal.cpp    function                        getFilePath      38       7       1
               DepAnal.cpp    function                        getFileName      26      10       1
               DepAnal.cpp    function                        getFilePath      38       7       1
               DepAnal.cpp    function                        getFileName      26      10       1
               DepAnal.cpp    function                        getFilePath      38       7       1
               DepAnal.cpp    function                               main      49       7       1
               DepAnal.cpp    function                               main      49       7       1
               DepAnal.cpp    function                               main      49       7       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 FileMgr.h       class                            FileMgr       9      60       8
                 FileMgr.h    function                            FileMgr      15       3       1
                 FileMgr.h    function                         addPattern      20       5       1
                 FileMgr.h    function                             search      27      10       1
                 FileMgr.h    function                               find      39      25       4
                 FileMgr.h       class                            FileMgr       9      60       8
                 FileMgr.h    function                            FileMgr      15       3       1
                 FileMgr.h    function                         addPattern      20       5       1
                 FileMgr.h    function                             search      27      10       1
                 FileMgr.h    function                               find      39      25       4
                 FileMgr.h       class                            FileMgr       9      60       8
                 FileMgr.h    function                            FileMgr      15       3       1
                 FileMgr.h    function                         addPattern      20       5       1
                 FileMgr.h    function                             search      27      10       1
                 FileMgr.h    function                               find      39      25       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               FileMgr.cpp    function                               main       9      20       2
               FileMgr.cpp    function                               main       9      20       2
               FileMgr.cpp    function                               main       9      20       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              FileSystem.h   namespace                         FileSystem      10     125      11
              FileSystem.h       class                              Block      17      13       2
              FileSystem.h    function                              Block      18       2       1
              FileSystem.h       class                               File      35      27       4
              FileSystem.h    function                               name      62       2       1
              FileSystem.h       class                           FileInfo      69      32       2
              FileSystem.h       class                               Path     106      10       1
              FileSystem.h       class                          Directory     121      13       1
              FileSystem.h   namespace                         FileSystem     120     117      32
              FileSystem.h       class                              Block     126      13       2
              FileSystem.h    function                              Block     127       2       1
              FileSystem.h       class                             Files_     143      27      25
              FileSystem.h    function                               name     170       2       1
              FileSystem.h       class                           FileInfo     175      32       2
              FileSystem.h       class                               Path     210      10       1
              FileSystem.h       class                          Directory     223      13       1
              FileSystem.h   namespace                         FileSystem      10     125      11
              FileSystem.h       class                              Block      17      13       2
              FileSystem.h    function                              Block      18       2       1
              FileSystem.h       class                               File      35      27       4
              FileSystem.h    function                               name      62       2       1
              FileSystem.h       class                           FileInfo      69      32       2
              FileSystem.h       class                               Path     106      10       1
              FileSystem.h       class                          Directory     121      13       1
              FileSystem.h   namespace                         FileSystem      10     125     282
              FileSystem.h       class                              Block      17      13      30
              FileSystem.h    function                              Block      18       2       1
              FileSystem.h       class                               File      35      27      67
              FileSystem.h    function                               name      62       2       1
              FileSystem.h       class                           FileInfo      69      32      94
              FileSystem.h       class                               Path     106      10      53
              FileSystem.h       class                          Directory     121      13      37

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            FileSystem.cpp    function                             Files_      99       2       1
            FileSystem.cpp    function                            ~Files_     104      13       3
            FileSystem.cpp    function                               open     121      27       3
            FileSystem.cpp    function                            getLine     152      12       1
            FileSystem.cpp    function                            putLine     168      13       1
            FileSystem.cpp    function                           getBlock     185      22       3
            FileSystem.cpp    function                           putBlock     211      14       2
            FileSystem.cpp    function                             isGood     229       9       1
            FileSystem.cpp    function                              flush     242       6       1
            FileSystem.cpp    function                              clear     252       6       1
            FileSystem.cpp    function                              close     262       7       1
            FileSystem.cpp    function                             exists     273       3       1
            FileSystem.cpp    function                               copy     280       3       1
            FileSystem.cpp    function                             remove     287       3       1
            FileSystem.cpp    function                              Block      35       2       1
            FileSystem.cpp    function                          push_back      41       3       1
            FileSystem.cpp    function                         operator[]      47       5       1
            FileSystem.cpp    function                         operator[]      55       5       1
            FileSystem.cpp    function                         operator==      63       3       1
            FileSystem.cpp    function                         operator!=      69       3       1
            FileSystem.cpp    function                               size      75       3       1
            FileSystem.cpp    function                              Block      46       2       1
            FileSystem.cpp    function                          push_back      52       3       1
            FileSystem.cpp    function                         operator[]      59       5       1
            FileSystem.cpp    function                         operator[]      68       5       1
            FileSystem.cpp    function                         operator==      77       3       1
            FileSystem.cpp    function                         operator!=      84       3       1
            FileSystem.cpp    function                               size      91       3       1
            FileSystem.cpp    function                              Block      35       2       1
            FileSystem.cpp    function                          push_back      41       3       1
            FileSystem.cpp    function                         operator[]      47       5       1
            FileSystem.cpp    function                         operator[]      55       5       1
            FileSystem.cpp    function                         operator==      63       3       1
            FileSystem.cpp    function                         operator!=      69       3       1
            FileSystem.cpp    function                               size      75       3       1
            FileSystem.cpp    function                              Block      35       2       1
            FileSystem.cpp    function                          push_back      41       3       1
            FileSystem.cpp    function                         operator[]      47       5       1
            FileSystem.cpp    function                         operator[]      55       5       1
            FileSystem.cpp    function                         operator==      63       3       1
            FileSystem.cpp    function                         operator!=      69       3       1
            FileSystem.cpp    function                               size      75       3       1
            FileSystem.cpp    function                               File      83       2       1
            FileSystem.cpp    function                              ~File      87      13       3
            FileSystem.cpp    function                               open     103      27       3
            FileSystem.cpp    function                            getLine     133      12       1
            FileSystem.cpp    function                            putLine     148      13       1
            FileSystem.cpp    function                           getBlock     164      22       3
            FileSystem.cpp    function                           putBlock     189      14       2
